3.0,25,3,0
3.0,25,8,0
3.0,50,45,5
3.0,25,20,3
3.0,25,25,2
3.0,50,45,5
3.0,25,20,3
3.0,25,25,2
3.0,50,45,5
3.0,25,20,3
3.0,25,25,2
3.0,50,45,5
3.0,25,20,3
3.0,25,25,2
3.0,50,45,6
3.0,25,20,3
3.0,25,25,3
3.0,50,45,6
3.0,25,20,3
3.0,25,25,3
3.0,50,45,7
3.0,25,20,3
3.0,25,25,4
3.0,50,45,5
3.0,25,20,3
3.0,25,25,2
3.0,50,14,0
3.0,25,3,0
3.0,25,11,0
3.0,50,10,0
3.0,25,3,0
3.0,25,7,0
3.0,50,13,0
3.0,25,4,0
3.0,25,9,0
3.0,50,12,0
3.0,25,4,0
3.0,25,8,0
3.0,50,10,0
3.0,25,3,0
3.0,25,7,0
3.0,50,11,0
3.0,25,3,0
3.0,25,8,0
3.0,50,1,0
3.0,25,0,0
3.0,25,1,0
3.0,50,14,0
3.0,25,3,0
3.0,25,11,0
3.0,50,2,0
3.0,25,0,0
3.0,25,2,0
3.0,50,4,0
3.0,25,1,0
3.0,25,3,0
3.0,50,0,0
3.0,25,0,0
3.0,25,0,0
3.0,50,2,0
3.0,25,0,0
3.0,25,2,0
3.0,50,0,0
3.0,25,0,0
3.0,25,0,0
3.0,50,1,0
3.0,25,0,0
3.0,25,1,0
3.0,50,4,0
3.0,25,1,0
3.0,25,3,0
3.0,50,45,8
3.0,25,20,3
3.0,25,25,5
3.0,50,45,8
3.0,25,20,3
3.0,25,25,5
3.0,50,45,9
3.0,25,20,4
3.0,25,25,5
3.0,50,45,9
3.0,25,20,4
3.0,25,25,5
3.0,50,45,9
3.0,25,20,4
3.0,25,25,5
3.0,50,45,9
3.0,25,20,4
3.0,25,25,5
3.0,50,45,8
3.0,25,20,3
3.0,25,25,5
3.0,50,45,8
3.0,25,20,3
3.0,25,25,5
3.0,50,45,9
3.0,25,20,3
3.0,25,25,6
3.0,50,45,9
3.0,25,20,3
3.0,25,25,6
3.0,50,45,9
3.0,25,20,3
3.0,25,25,6
3.0,50,45,9
3.0,25,20,3
3.0,25,25,6
3.0,50,45,8
3.0,25,20,3
3.0,25,25,5
3.0,50,45,8
3.0,25,20,3
3.0,25,25,5
3.0,50,45,9
3.0,25,20,3
3.0,25,25,6
3.0,50,45,9
3.0,25,20,3
3.0,25,25,6
3.0,50,45,7
3.0,25,20,3
3.0,25,25,4
3.0,50,45,9
3.0,25,20,3
3.0,25,25,6
3.0,50,45,8
3.0,25,20,3
3.0,25,25,5
3.0,50,45,7
3.0,25,20,3
3.0,25,25,4
3.0,50,45,7
3.0,25,20,3
3.0,25,25,4
3.0,50,45,8
3.0,25,20,4
3.0,25,25,4
3.0,50,45,8
3.0,25,20,4
3.0,25,25,4
3.0,50,45,8
3.0,25,20,4
3.0,25,25,4
3.0,50,45,8
3.0,25,20,4
3.0,25,25,4
3.0,50,45,8
3.0,25,20,4
3.0,25,25,4
3.0,50,45,8
3.0,25,20,4
3.0,25,25,4
3.0,50,45,8
3.0,25,20,4
3.0,25,25,4
3.0,50,45,8
3.0,25,20,4
3.0,25,25,4
3.0,50,45,8
3.0,25,20,4
3.0,25,25,4
3.0,50,45,8
3.0,25,20,4
3.0,25,25,4
3.0,50,45,8
3.0,25,20,4
3.0,25,25,4
3.0,50,45,8
3.0,25,20,4
3.0,25,25,4
3.0,50,45,8
3.0,25,20,4
3.0,25,25,4
3.0,50,45,8
3.0,25,20,4
3.0,25,25,4
3.0,50,45,8
3.0,25,20,4
3.0,25,25,4
3.0,50,45,8
3.0,25,20,4
3.0,25,25,4
3.0,50,45,8
3.0,25,20,4
3.0,25,25,4
3.0,50,45,8
3.0,25,20,4
3.0,25,25,4
3.0,50,45,8
3.0,25,20,4
3.0,25,25,4
3.0,50,45,9
3.0,25,20,4
3.0,25,25,5
3.0,50,47,8
3.0,25,22,4
3.0,25,25,4
3.0,50,47,8
3.0,25,22,4
3.0,25,25,4
3.0,50,48,9
3.0,25,23,5
3.0,25,25,4
3.0,50,48,9
3.0,25,23,5
3.0,25,25,4
3.0,50,47,8
3.0,25,22,4
3.0,25,25,4
3.0,50,48,9
3.0,25,23,5
3.0,25,25,4
3.0,50,48,9
3.0,25,23,5
3.0,25,25,4
3.0,50,47,8
3.0,25,22,4
3.0,25,25,4
3.0,50,47,8
3.0,25,22,4
3.0,25,25,4
3.0,50,46,8
3.0,25,21,4
3.0,25,25,4
3.0,50,46,8
3.0,25,21,4
3.0,25,25,4
3.0,50,46,8
3.0,25,21,4
3.0,25,25,4
3.0,50,47,8
3.0,25,22,4
3.0,25,25,4
3.0,50,47,8
3.0,25,22,4
3.0,25,25,4
3.0,50,47,8
3.0,25,22,4
3.0,25,25,4
3.0,50,47,8
3.0,25,22,4
3.0,25,25,4
3.0,50,47,8
3.0,25,22,4
3.0,25,25,4
3.0,50,47,8
3.0,25,22,4
3.0,25,25,4
3.0,50,46,8
3.0,25,21,4
3.0,25,25,4
3.0,50,45,8
3.0,25,20,4
3.0,25,25,4
3.0,50,46,8
3.0,25,21,4
3.0,25,25,4
3.0,50,47,8
3.0,25,22,4
3.0,25,25,4
3.0,50,46,8
3.0,25,21,4
3.0,25,25,4
3.0,50,50,8
3.0,25,25,5
3.0,25,25,4
3.0,50,50,8
3.0,25,25,5
3.0,25,25,4
3.0,50,50,8
3.0,25,25,5
3.0,25,25,4
3.0,50,50,8
3.0,25,25,5
3.0,25,25,4
3.0,50,50,8
3.0,25,25,5
3.0,25,25,4
3.0,50,50,8
3.0,25,25,5
3.0,25,25,4
3.0,50,49,8
3.0,25,25,5
3.0,25,24,4
3.0,50,50,8
3.0,25,25,5
3.0,25,25,4
3.0,50,49,9
3.0,25,24,5
3.0,25,25,4
3.0,50,49,9
3.0,25,24,5
3.0,25,25,4
3.0,50,49,8
3.0,25,24,5
3.0,25,25,3
3.0,50,49,8
3.0,25,24,5
3.0,25,25,3
3.0,50,49,9
3.0,25,24,5
3.0,25,25,4
3.0,50,49,9
3.0,25,24,5
3.0,25,25,4
3.0,50,49,8
3.0,25,24,5
3.0,25,25,3
3.0,50,49,9
3.0,25,24,5
3.0,25,25,4
3.0,50,49,9
3.0,25,24,5
3.0,25,25,4
3.0,50,49,9
3.0,25,24,5
3.0,25,25,4
3.0,50,49,9
3.0,25,24,5
3.0,25,25,4
3.0,50,49,9
3.0,25,24,5
3.0,25,25,4
3.0,50,49,9
3.0,25,24,5
3.0,25,25,4
3.0,50,49,9
3.0,25,24,5
3.0,25,25,4
3.0,50,49,9
3.0,25,24,5
3.0,25,25,4
3.0,50,49,9
3.0,25,24,5
3.0,25,25,4
3.0,50,50,13
3.0,25,25,6
3.0,25,25,8
3.0,50,50,12
3.0,25,25,6
3.0,25,25,7
3.0,50,50,13
3.0,25,25,6
3.0,25,25,8
3.0,50,50,13
3.0,25,25,6
3.0,25,25,8
3.0,50,50,13
3.0,25,25,6
3.0,25,25,8
3.0,50,49,12
3.0,25,24,6
3.0,25,25,7
3.0,50,50,11
3.0,25,25,5
3.0,25,25,7
3.0,50,50,13
3.0,25,25,6
3.0,25,25,8
3.0,50,50,11
3.0,25,25,5
3.0,25,25,7
3.0,50,50,11
3.0,25,25,5
3.0,25,25,7
3.0,50,50,11
3.0,25,25,5
3.0,25,25,7
3.0,50,50,11
3.0,25,25,5
3.0,25,25,7
3.0,50,50,11
3.0,25,25,5
3.0,25,25,7
3.0,50,50,10
3.0,25,25,5
3.0,25,25,6
3.0,50,50,11
3.0,25,25,5
3.0,25,25,7
3.0,50,50,11
3.0,25,25,5
3.0,25,25,7
3.0,50,49,11
3.0,25,24,6
3.0,25,25,6
3.0,50,49,10
3.0,25,24,5
3.0,25,25,6
3.0,50,50,11
3.0,25,25,5
3.0,25,25,7
3.0,50,50,10
3.0,25,25,5
3.0,25,25,6
3.0,50,50,10
3.0,25,25,5
3.0,25,25,6
3.0,50,50,8
3.0,25,25,5
3.0,25,25,4
3.0,50,50,9
