code,semester,title,credits,recordTime,sectionId,quota,enrol,wait
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-01-25 12:00:00,T1,25,1,0
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-01-25 12:00:00,T2,25,3,0
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-01-25 09:30:00,L1,50,0,0
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-01-25 09:30:00,T1,25,0,0
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-01-25 09:30:00,T2,25,0,0
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-01-25 11:30:00,L1,50,2,0
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-01-25 11:30:00,T1,25,0,0
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-01-25 11:30:00,T2,25,2,0
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-01-25 09:00:00,L1,50,0,0
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-01-25 09:00:00,T1,25,0,0
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-01-25 09:00:00,T2,25,0,0
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-01-25 10:00:00,L1,50,1,0
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-01-25 10:00:00,T1,25,0,0
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-01-25 10:00:00,T2,25,1,0
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-01-25 12:30:00,L1,50,4,0
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-01-25 12:30:00,T1,25,1,0
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-01-25 12:30:00,T2,25,3,0
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 14:00:00,L1,50,45,8
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 14:00:00,T1,25,20,3
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 14:00:00,T2,25,25,5
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 12:30:00,L1,50,45,8
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 12:30:00,T1,25,20,3
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 12:30:00,T2,25,25,5
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 11:00:00,L1,50,45,9
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 11:00:00,T1,25,20,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 11:00:00,T2,25,25,5
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 11:30:00,L1,50,45,9
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 11:30:00,T1,25,20,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 11:30:00,T2,25,25,5
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 10:30:00,L1,50,45,9
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 10:30:00,T1,25,20,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 10:30:00,T2,25,25,5
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 12:00:00,L1,50,45,9
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 12:00:00,T1,25,20,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 12:00:00,T2,25,25,5
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 13:30:00,L1,50,45,8
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 13:30:00,T1,25,20,3
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 13:30:00,T2,25,25,5
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 13:00:00,L1,50,45,8
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 13:00:00,T1,25,20,3
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 13:00:00,T2,25,25,5
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 18:00:00,L1,50,45,9
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 18:00:00,T1,25,20,3
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 18:00:00,T2,25,25,6
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 17:30:00,L1,50,45,9
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 17:30:00,T1,25,20,3
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 17:30:00,T2,25,25,6
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 16:30:00,L1,50,45,9
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 16:30:00,T1,25,20,3
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 16:30:00,T2,25,25,6
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 15:30:00,L1,50,45,9
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 15:30:00,T1,25,20,3
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 15:30:00,T2,25,25,6
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 14:30:00,L1,50,45,8
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 14:30:00,T1,25,20,3
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 14:30:00,T2,25,25,5
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 15:00:00,L1,50,45,8
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 15:00:00,T1,25,20,3
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 15:00:00,T2,25,25,5
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 17:00:00,L1,50,45,9
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 17:00:00,T1,25,20,3
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 17:00:00,T2,25,25,6
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 16:00:00,L1,50,45,9
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 16:00:00,T1,25,20,3
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 16:00:00,T2,25,25,6
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 19:30:00,L1,50,45,7
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 19:30:00,T1,25,20,3
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 19:30:00,T2,25,25,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 18:30:00,L1,50,45,9
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 18:30:00,T1,25,20,3
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 18:30:00,T2,25,25,6
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 19:00:00,L1,50,45,8
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 19:00:00,T1,25,20,3
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 19:00:00,T2,25,25,5
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 20:30:00,L1,50,45,7
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 20:30:00,T1,25,20,3
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 20:30:00,T2,25,25,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 20:00:00,L1,50,45,7
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 20:00:00,T1,25,20,3
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 20:00:00,T2,25,25,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 01:00:00,L1,50,45,8
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 01:00:00,T1,25,20,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 01:00:00,T2,25,25,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 23:00:00,L1,50,45,8
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 23:00:00,T1,25,20,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 23:00:00,T2,25,25,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 23:30:00,L1,50,45,8
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 23:30:00,T1,25,20,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-13 23:30:00,T2,25,25,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 00:00:00,L1,50,45,8
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 00:00:00,T1,25,20,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 00:00:00,T2,25,25,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 00:30:00,L1,50,45,8
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 00:30:00,T1,25,20,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 00:30:00,T2,25,25,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 03:30:00,L1,50,45,8
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 03:30:00,T1,25,20,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 03:30:00,T2,25,25,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 03:00:00,L1,50,45,8
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 03:00:00,T1,25,20,4
RMBI1010,2017-18 Spring,Risk Management in Society,3.0,2018-02-14 03:00:00,T2,25,25,4
