,3.0,25,3,0
2786,0.0,180,150,0
29258,3.0,60,60,10
14986,4.0,18,18,0
492,3.0,25,25,8
11481,4.0,12,12,0
11369,4.0,17,15,0
5121,2.0,20,17,0
15009,4.0,17,14,0
15181,4.0,12,10,0
8311,3.0,51,44,0
18861,4.0,1,1,0
3541,0.0,180,152,0
10354,4.0,11,9,0
30858,3.0,80,75,2
5778,3.0,80,49,0
16174,4.0,18,18,0
11183,4.0,1,1,0
8665,3.0,55,43,0
11205,4.0,1,1,0
31921,3.0,65,65,5
9611,4.0,11,9,0
26669,3.0,40,40,14
15400,4.0,6,6,0
22558,3.0,135,135,60
30998,3.0,80,73,3
24955,3.0,55,55,60
14483,4.0,1,1,0
7058,3.0,80,52,0
10595,4.0,11,9,0
5709,3.0,80,49,0
27074,3.0,67,66,2
8933,3.0,55,42,0
4492,2.0,20,16,0
8238,3.0,51,44,0
24736,3.0,55,55,61
6063,3.0,80,50,0
13539,4.0,11,8,0
3517,0.0,180,152,0
19993,4.0,17,15,0
14848,4.0,11,8,0
3770,3.0,60,52,0
8553,3.0,55,43,0
27128,3.0,67,66,3
21797,3.0,73,73,35
30035,3.0,60,60,18
13630,4.0,12,10,0
32055,3.0,65,65,5
31512,3.0,75,75,4
29463,3.0,60,60,17
24487,3.0,59,59,51
19,3.0,50,45,7
13818,4.0,2,2,0
7843,3.0,51,43,0
26027,3.0,40,40,22
7096,3.0,80,53,0
28011,3.0,67,67,16
7984,3.0,51,44,0
18992,4.0,17,15,0
29946,3.0,60,60,18
28128,3.0,65,65,21
22110,3.0,67,67,14
10687,4.0,11,9,0
31592,3.0,75,75,4
26835,3.0,40,40,6
27820,3.0,67,67,15
9554,4.0,11,9,0
21152,3.0,73,73,24
29100,3.0,60,60,9
20678,3.0,65,65,27
13243,4.0,9,9,0
21349,3.0,140,140,37
26127,3.0,40,40,21
22292,3.0,73,73,38
6192,3.0,80,52,0
27402,3.0,67,67,7
24326,3.0,59,59,48
481,3.0,50,50,13
21734,3.0,73,73,36
27624,3.0,67,67,11
22433,3.0,73,73,38
2133,3.0,25,25,12
5846,3.0,80,49,0
11044,4.0,6,6,0
27965,3.0,67,67,16
24160,3.0,74,74,30
12984,4.0,18,18,0
6000,3.0,80,50,0
23299,3.0,125,120,22
17283,4.0,2,2,0
23801,3.0,74,74,24
21429,3.0,67,67,9
8717,3.0,55,43,0
26239,3.0,40,40,15
9669,4.0,11,9,0
30846,3.0,80,75,2
11661,4.0,12,10,0
32141,3.0,65,65,5
8011,3.0,51,43,0
14389,4.0,12,10,0
6309,3.0,80,52,0
30369,3.0,60,60,17
19399,4.0,17,15,0
17408,4.0,17,15,0
12639,4.0,6,6,0
25637,3.0,45,45,2
28476,3.0,65,65,22
30431,3.0,60,60,7
16840,4.0,9,9,0
11339,4.0,11,8,0
27861,3.0,67,67,15
29098,3.0,60,60,9
956,3.0,25,25,4
24499,3.0,59,59,50
13689,4.0,17,14,0
17232,4.0,17,15,0
4277,3.0,50,50,3
8362,3.0,51,44,0
16182,4.0,12,10,0
18982,4.0,1,1,0
2850,0.0,180,150,0
30695,3.0,80,74,2
2668,3.0,50,8,0
18185,4.0,2,2,0
13907,4.0,1,1,0
1122,3.0,25,25,8
16294,4.0,1,1,0
23813,3.0,74,74,24
18124,4.0,1,1,0
24622,3.0,55,55,59
12866,4.0,1,1,0
18080,4.0,1,1,0
17345,4.0,11,8,0
18709,4.0,11,8,0
22856,3.0,70,70,43
13888,4.0,17,15,0
3385,0.0,180,152,0
17842,4.0,6,6,0
19592,4.0,12,10,0
8517,3.0,55,43,0
15685,4.0,9,9,0
5513,3.0,80,49,0
24485,3.0,59,59,50
6926,3.0,80,52,0
22655,3.0,70,70,42
29785,3.0,60,60,19
29979,3.0,60,60,18
9047,4.0,11,9,0
23198,3.0,65,65,18
519,3.0,25,25,7
1192,3.0,50,49,17
31409,3.0,75,75,4
12505,4.0,11,8,0
11494,4.0,9,9,0
7109,3.0,80,53,0
22431,3.0,67,67,14
9774,4.0,11,9,0
10853,4.0,1,1,0
15680,4.0,17,14,0
16971,4.0,11,8,0
23622,3.0,74,74,19
23399,3.0,74,74,11
18506,4.0,18,18,0
31361,3.0,75,75,4
5897,3.0,80,49,0
9296,4.0,11,9,0
3417,0.0,180,152,0
15262,4.0,17,14,0
10151,4.0,11,9,0
11414,4.0,1,1,0
4979,2.0,20,13,0
3443,0.0,180,152,0
13372,4.0,1,1,0
3149,0.0,180,151,0
25372,3.0,45,44,1
9646,4.0,11,9,0
29075,3.0,60,60,9
16556,4.0,12,10,0
8707,3.0,55,43,0
10030,4.0,11,9,0
19484,4.0,1,1,0
12314,4.0,17,14,0
24267,3.0,59,59,46
21618,3.0,67,67,12
18299,4.0,17,15,0
31752,3.0,75,69,4
18714,4.0,1,1,0
6573,3.0,80,53,0
28780,3.0,65,62,2
1080,3.0,25,25,9
11954,4.0,12,12,0
10010,4.0,11,9,0
6728,3.0,80,52,0
11441,4.0,12,10,0
8374,3.0,51,44,0
1957,3.0,50,50,17
9456,4.0,11,9,0
22822,3.0,135,135,59
9513,4.0,11,9,0
8068,3.0,51,44,0
6580,3.0,80,53,0
21982,3.0,140,140,47
18379,4.0,11,8,0
22032,3.0,67,67,14
25676,3.0,45,45,10
25356,3.0,45,45,1
30195,3.0,60,60,20
21784,3.0,140,140,47
31307,3.0,75,74,4
14130,4.0,17,15,0
3977,3.0,60,56,0
15034,4.0,12,12,0
15261,4.0,18,18,0
19082,4.0,12,12,0
5262,2.0,20,16,0
18067,4.0,17,14,0
21218,3.0,73,73,27
28495,3.0,65,65,22
15913,4.0,1,1,0
4671,2.0,20,14,0
31266,3.0,75,75,4
18839,4.0,1,1,0
3732,3.0,60,52,0
28302,3.0,65,65,20
12356,4.0,1,1,0
10641,4.0,11,9,0
15243,4.0,12,12,0
29890,3.0,60,60,19
5881,3.0,80,50,0
14009,4.0,17,15,0
21501,3.0,67,67,11
16509,4.0,11,8,0
30983,3.0,80,74,3
8668,3.0,55,43,0
11955,4.0,11,8,0
2762,0.0,180,151,0
16300,4.0,11,8,0
14859,4.0,11,8,0
30442,3.0,60,60,16
32120,3.0,65,65,4
12964,4.0,17,15,0
23677,3.0,74,74,22
14900,4.0,17,15,0
20012,4.0,1,1,0
26040,3.0,40,40,22
23475,3.0,74,74,13
15783,4.0,11,8,0
30775,3.0,80,74,2
5221,2.0,20,16,0
21165,3.0,67,67,7
29193,3.0,60,60,10
27142,3.0,67,67,6
19908,4.0,11,8,0
30634,3.0,80,74,2
27437,3.0,67,67,8
19854,4.0,9,9,0
26149,3.0,40,40,21
22365,3.0,67,67,14
31564,3.0,75,75,4
11035,4.0,2,2,0
31737,3.0,75,70,4
15623,4.0,1,1,0
13026,4.0,2,2,0
26593,3.0,40,40,15
19666,4.0,11,8,0
2781,0.0,180,150,0
18543,4.0,12,12,0
17705,4.0,17,15,0
11246,4.0,18,18,0
29439,3.0,60,60,16
15511,4.0,12,10,0
21869,3.0,73,73,35
8603,3.0,55,43,0
10593,4.0,11,9,0
21438,3.0,67,67,9
17056,4.0,17,15,0
11685,4.0,1,1,0
30261,3.0,60,60,19
17817,4.0,12,12,0
26406,3.0,40,40,15
31758,3.0,75,69,4
10147,4.0,11,9,0
13181,4.0,1,1,0
19901,4.0,2,2,0
23162,3.0,70,70,43
15745,4.0,18,18,0
1275,3.0,25,25,11
23513,3.0,74,74,14
10648,4.0,11,9,0
26473,3.0,40,40,15
1564,3.0,50,50,17
12344,4.0,2,2,0
4430,3.0,50,50,0
16787,4.0,12,10,0
12525,4.0,1,1,0
11977,4.0,11,8,0
22287,3.0,67,67,14
26873,3.0,40,23,0
29415,3.0,60,60,15
20498,4.0,17,14,0
5082,2.0,20,14,0
25170,3.0,45,42,0
15673,4.0,11,8,0
830,3.0,25,25,5
21837,3.0,67,67,13
3435,0.0,180,152,0
31748,3.0,75,69,4
1749,3.0,25,25,13
170,3.0,25,20,4
18422,4.0,12,12,0
15244,4.0,11,8,0
2466,3.0,25,25,10
19376,4.0,17,14,0
27018,3.0,67,65,2
20828,3.0,73,72,17
32282,3.0,65,65,4
12250,4.0,1,1,0
30918,3.0,80,75,2
14001,4.0,11,8,0
9689,4.0,11,9,0
31025,3.0,80,74,3
20776,3.0,140,140,19
5622,3.0,80,49,0
6955,3.0,80,52,0
8385,3.0,51,44,0
9203,4.0,11,9,0
10683,4.0,11,9,0
13968,4.0,11,8,0
17920,4.0,12,10,0
25427,3.0,45,45,1
26493,3.0,40,40,15
26895,3.0,40,40,4
9062,4.0,11,9,0
24104,3.0,74,74,28
12836,4.0,9,9,0
447,3.0,25,25,8
25953,3.0,40,40,22
13422,4.0,2,2,0
23691,3.0,74,74,22
20493,4.0,6,6,0
2738,0.0,180,151,0
29021,3.0,60,60,9
26230,3.0,40,40,15
21396,3.0,67,67,9
25409,3.0,45,45,1
22752,3.0,65,65,17
31874,3.0,65,65,8
29672,3.0,60,60,19
14269,4.0,2,2,0
19803,4.0,1,1,0
22494,3.0,65,65,16
24978,3.0,55,55,60
16318,4.0,17,14,0
13447,4.0,17,14,0
21093,3.0,67,67,7
14461,4.0,1,1,0
26923,3.0,67,58,3
1052,3.0,25,25,7
3080,0.0,180,150,0
14843,4.0,18,18,0
24358,3.0,59,59,48
19090,4.0,17,14,0
18779,4.0,2,2,0
18953,4.0,6,6,0
665,3.0,25,25,5
26386,3.0,40,40,14
23674,3.0,74,74,22
12035,4.0,12,10,0
31276,3.0,75,75,4
12456,4.0,18,18,0
9821,4.0,11,9,0
6066,3.0,80,50,0
